workbook_file,sheet_name,header_row,headers_json,notes
各ブランドサイト管理＿メイン (4).xlsx,kokugo-trigger.com,1,"[""URL"", ""分類"", ""タイトル"", ""メタ"", ""更新日(lastmod)"", ""CLI_1M"", ""3M_CLI"", ""LY1_CLI"", ""LY3_CLI"", ""Δ1M_CLI"", ""Δ3M_CLI"", ""IMP_1M"", ""3M_IMP"", ""LY1_IMP"", ""LY3_IMP"", ""Δ1M_IMP"", ""Δ3M_IMP"", ""CTR_1M"", ""3M_CTR"", ""LY1_CTR"", ""LY3_CTR"", ""1M差分_CTR"", ""3M差分_CTR"", ""POS_1M"", ""3M_POS"", ""LY1_POS"", ""LY3_POS"", ""1M差分_POS"", ""3M差分_POS"", ""GCS基準日"", ""H2数"", ""H3数"", ""本文文字数"", ""内部リンク数"", ""CTA有無"", ""構造化JSON"", ""タイトルLEN"", ""メタLEN""]",
SEOプロンプト作成.xlsx,作業対象_手動,1,"[""有効"", ""URL"", ""メモ"", ""最終出力"", ""ステータス""]",
SEOプロンプト作成.xlsx,改善候補_Manual,1,"[""Domain"", ""URL"", ""Clicks(cur)"", ""Clicks(prev)"", ""Click差(cur-prev)"", ""CTR(cur)"", ""CTR(prev)"", ""CTR差(cur-prev)"", ""Pos(cur)"", ""Pos(prev)"", ""Pos差(cur-prev)"", ""Impr(cur)"", ""Impr(prev)"", ""Impr差(cur-prev)"", ""Score"", ""Lastmod"", ""Range""]",
SEOプロンプト作成.xlsx,改善候補_スニペット,1,"[""Domain"", ""URL"", ""Clicks(cur)"", ""Clicks(prev)"", ""Click差(cur-prev)"", ""CTR(cur)"", ""CTR(prev)"", ""CTR差(cur-prev)"", ""Pos(cur)"", ""Pos(prev)"", ""Pos差(cur-prev)"", ""Impr(cur)"", ""Impr(prev)"", ""Impr差(cur-prev)"", ""Score"", ""Lastmod"", ""Range""]",
SEOプロンプト作成.xlsx,改善候補_ZeroClick,1,"[""Domain"", ""URL"", ""Clicks(cur)"", ""Clicks(prev)"", ""Click差(cur-prev)"", ""CTR(cur)"", ""CTR(prev)"", ""CTR差(cur-prev)"", ""Pos(cur)"", ""Pos(prev)"", ""Pos差(cur-prev)"", ""Impr(cur)"", ""Impr(prev)"", ""Impr差(cur-prev)"", ""Score"", ""Lastmod"", ""Range""]",
SEOプロンプト作成.xlsx,改善候補_Weekly,1,"[""Domain"", ""URL"", ""Clicks(cur)"", ""Clicks(prev)"", ""Click差(cur-prev)"", ""CTR(cur)"", ""CTR(prev)"", ""CTR差(cur-prev)"", ""Pos(cur)"", ""Pos(prev)"", ""Pos差(cur-prev)"", ""Impr(cur)"", ""Impr(prev)"", ""Impr差(cur-prev)"", ""Score"", ""Lastmod"", ""Range""]",
SEOプロンプト作成.xlsx,改善候補_Monthly,1,"[""Domain"", ""URL"", ""Clicks(cur)"", ""Clicks(prev)"", ""Click差(cur-prev)"", ""CTR(cur)"", ""CTR(prev)"", ""CTR差(cur-prev)"", ""Pos(cur)"", ""Pos(prev)"", ""Pos差(cur-prev)"", ""Impr(cur)"", ""Impr(prev)"", ""Impr差(cur-prev)"", ""Score"", ""Lastmod"", ""Range""]",
SEOプロンプト作成.xlsx,改善候補_LongTerm,1,"[""Domain"", ""URL"", ""Clicks(cur)"", ""Clicks(prev)"", ""Click差(cur-prev)"", ""CTR(cur)"", ""CTR(prev)"", ""CTR差(cur-prev)"", ""Pos(cur)"", ""Pos(prev)"", ""Pos差(cur-prev)"", ""Impr(cur)"", ""Impr(prev)"", ""Impr差(cur-prev)"", ""Score"", ""Lastmod"", ""Range""]",
SEOプロンプト作成.xlsx,クエリ詳細,1,"[""Range"", ""URL"", ""Query"", ""ClicksCur"", ""ClicksPrev"", ""PosCur"", ""PosPrev"", ""posDiff""]",
SEOプロンプト作成.xlsx,GPTプロンプト,1,"[""Range"", ""ページ分類"", ""URL"", ""更新日時"", ""プロンプト(MonthlyとLongTermはChatGPT5.2Thinking Extendedを使用して下さい)"", ""更新日時(最新)"", ""実行対象"", ""実行ステータス"", ""実行日時"", ""APIレスポンスID"", ""出力本文"", ""エラー内容""]",
GSCキーワード調査.xlsx,KW→ページ,1,"[""query"", ""siteUrl"", ""page"", ""category"", ""clicks"", ""impressions"", ""ctr"", ""position"", ""rangeStart"", ""rangeEnd"", ""pageShare(clicks)"", ""note""]",
